ID,ALIAS,DESCRIPTION,MESSAGE,NAME,STATUS,SUBENTITYID
64,UPDATE_COMPOSER_ATTRIBUTE,Update composer attribute,Attribute updated for mapping $entityName,Update composer attribute,ACTIVE,17
65,CREATE_DEVICE,Create device,New device $entityName created for device type $deviceType and vendor type $vendorType.,Add device,ACTIVE,20
66,UPDATE_DEVICE,Update device,Device $entityName updated for device type $deviceType and vendor type $vendorType.,Update device,ACTIVE,20
67,DELETE_DEVICE,Delete device,Device $entityName deleted from device type $deviceType and vendor type $vendorType.,Delete device,ACTIVE,20
68,CREATE_DATASOURCE,Create datasource,Datasource $entityName created.,Datasource added,ACTIVE,2
69,UPDATE_DATASOURCE,Update datasource,Datasource $entityName updated.,Datasource updated,ACTIVE,2
70,DELETE_DATASOURCE,Delete datasource,Datasource $entityName removed.,Datasource deleted,ACTIVE,2
71,UPDATE_AGENT_STATUS,Update agent status,Packet statics agent status changed in server instance $serverInstanceName.,Update agent status,ACTIVE,12
72,UPDATE_AGENT_DETAILS,Update agent details,Packet statics agent details updated in server instance $serverInstanceName.,Update agent details,ACTIVE,12
73,CREATE_CHAR_RENAME,Create char rename ,Char rename operations created in composer $entityName in service $serviceName and server instance $serverInstanceName.,Char rename operation created,ACTIVE,11
74,UPDATE_CHAR_RENAME,Update char rename operation,Char rename operations updated in composer $entityName in service $serviceName and server instance $serverInstanceName.,Char rename operation updated,ACTIVE,11
75,DELETE_CHAR_RENAME,Delete char rename operation,Char rename operations deleted from composer $entityName in service $serviceName and server instance $serverInstanceName.,Char rename operation deleted,ACTIVE,11
76,UPDATE_AGENT,Agent updated,Agent $entityName updated.,Agent updated,ACTIVE,12
77,UPDATE_ALERT_CONFIGURATION,Update alert configuration,Alert $entityName configuration updated.,Alert configuration updated,ACTIVE,21
78,UPDATE_SNMP_CONFIGURATION,Update snmp server,SNMP server $entityName configuration updated in $serverInstanceName.,Snmp server configuration updated,ACTIVE,21
79,DELETE_SNMP_SERVER,Delete snmp server,SNMP server $entityName deleted from $serverInstanceName.,snmp server deleted,ACTIVE,21
80,CREATE_SNMP_SERVER,Create snmp server,SNMP server $entityName created in $serverInstanceName.,snmp server created,ACTIVE,21
81,ADD_SNMP_LISTENER_CONFIGURATION,Create snmp Client,SNMP client $entityName created in $serverInstanceName.,snmp client created.,ACTIVE,21
82,UPDATE_SNMP_LISTENER_CONFIGURATION,Update snmp client,SNMP client $entityName updated in $serverInstanceName.,snmp client updated.,ACTIVE,21
83,DELETE_SNMP_LISTENER_CONFIGURATION,Delete snmp client,SNMP client $entityName deleted from $serverInstanceName.,snmp client deleted.,ACTIVE,21
84,UPDATE_SNMP_LISTENER_STATUS,Update SNMP Client status,SNMP client $entityName status updated.,snmp client status updated,ACTIVE,21
85,UPDATE_SNMP_STATUS,Update snmp server status,Status updated of SNMP server $entityName of server instance $serverInstanceName.,snmp server status updated,ACTIVE,21
86,UPDATE_SNMP_ALERTS_TO_CLIENT,update snmp alerts to client,Alert $alertName  bind to client $entityName.,update snmp alerts to client,ACTIVE,21
87,UPDATE_PRODUCT_CONFIGURATION,update product configuration,Product configuration updated in serverType $entityName .,update prioduct configuration,ACTIVE,22
88,CREATE_IPLOG_PATHLIST,Create iplog service pathlist,New pathlist $entityName and parser $parserName created in service $serviceName in  server instance $serverInstanceName.,create pathlist in iplog parsing service,ACTIVE,4
89,UPDATE_IPLOG_PATHLIST,Update iplog service pathlist,Pathlist $entityName updated in service $serviceName in  server instance $serverInstanceName.,Update pathlist in iplog parsing service,ACTIVE,4
90,CREATE_PARSING_PATHLIST,Create parsing service pathlist,New pathlist $entityName created in service $serviceName in  server instance $serverInstanceName.,create pathlist in parsing service,ACTIVE,4
91,UPDATE_PARSING_PATHLIST,Update parsing service pathlist,Pathlist $entityName updated in service $serviceName in  server instance $serverInstanceName.,update pathlist in parsing service,ACTIVE,4
92,DELETE_PARSING_PATHLIST,Delete parsing service pathlist,Pathlist $entityName deleted from service $serviceName in  server instance $serverInstanceName.,Delete pathlist in parsing service,ACTIVE,4
93,UPDATE_IPLOG_HASH_CONFIGURATION,Update iplog parsing service hash configuration,Iplog parsing service hash configuration updated in service $entityName in server instance $serverInstanceName .,Update iplog parsing service Hash configuration,ACTIVE,4
94,UPDATE_PARTITION_PARAM,Update partition parameters,Partition parameters updated.,Update partition parameters,ACTIVE,4
95,UPDATE_SERVER_INSTANCE_SYSTEMLOG,Update server instance system log,System log configuration updated for server instance  $serverInstanceName,Update server instance system log,ACTIVE,2
96,UPDATE_SERVER_INSTANCE_STATISTICS,Update server instance statistics,Statistics configuration updated for server instance  $serverInstanceName,Update server instance statistics,ACTIVE,2
97,UPDATE_THRESHOLD_SERVICE,update service threshold for service,update service threshold for service,update service threshold for service,ACTIVE,21
98,UPDATE_THRESHOLD_GENERIC,update service threshold for generic,update service threshold for generic,update service threshold for generic,ACTIVE,21
99,UPDATE_THRESHOLD_SERVER_INSTANCE,update service threshold for server instance,update service threshold for server instance,update service threshold for server instance,ACTIVE,21
100,UPDATE_PROFILE_CONFIGURATION,update profile configuration,Profile configuration updated.,update profile configuration.,ACTIVE,22
101,UPDATE_PROFILE_ACCESSGROUP_CONFIGURATION,update profile configuration,Profile configuration updated.,update profile configuration.,ACTIVE,22
102,UPDATE_PROFILE_BUSINESS_CONFIGURATION,update profile configuration,Profile configuration updated.,update profile configuration.,ACTIVE,22
103,UPDATE_PROFILE_BUSINESS_SUB_CONFIGURATION,update profile configuration,Profile configuration updated.,update profile configuration.,ACTIVE,22
104,CREATE_POLICY,Create Policy,New policy $entityName created in server instance $serverInstanceName.,Create Policy.,ACTIVE,24
105,UPDATE_POLICY,Update Policy,Policy $entityName updated in server instance $serverInstanceName.,Update Policy.,ACTIVE,24
106,DELETE_POLICY,Delete Policy,Policy $entityName deleted from server instance $serverInstanceName.,Delete Policy.,ACTIVE,24
107,CREATE_POLICY_ACTION,Create Policy Action,New policy action $entityName created in server instance $serverInstanceName.,Create Policy Action.,ACTIVE,24
108,UPDATE_POLICY_ACTION,Update Policy Action,Policy action $entityName updated in server instance $serverInstanceName.,Update Policy Action.,ACTIVE,24
109,DELETE_POLICY_ACTION,Delete Policy Action,Policy action $entityName deleted from server instance $serverInstanceName.,Delete Policy Action.,ACTIVE,24
110,CREATE_SERVICE_TO_FILE_RENAME_AGENT,Create service configuration in file rename agent,Service $serviceName added to file renaming agent in server instance $serverInstanceName.,Create service to file renaming agent,ACTIVE,12
111,UPDATE_SERVICE_TO_FILE_RENAME_AGENT,Update service configuration in file rename agent,Service $serviceName updated in file renaming agent in server instance $serverInstanceName.,Update service to file renaming agent,ACTIVE,12
112,UPDATE_FILE_RENAME_AGENT_DETAILS,Update file rename agent details,File rename agent details updated in server instance $serverInstanceName.,Update file rename agent details,ACTIVE,12
113,DELETE_SERVICE_FROM_FILE_RENAME_AGENT,Delete service configuration from file rename agent,Service $serviceName deleted from file renaming agent in server instance $serverInstanceName.,Delete service from file renaming agent,ACTIVE,12
114,CREATE_CHAR_RENAME_TO_FILE_RENAME_AGENT,Create char rename operation ,Char rename operations created in service $serviceName and server instance $serverInstanceName.,Create char Rename operation ,ACTIVE,12
115,UPDATE_CHAR_RENAME_TO_FILE_RENAME_AGENT,Update char rename operation,Char rename operations updated in service $serviceName and server instance $serverInstanceName.,Create char Rename operation ,ACTIVE,12
116,DELETE_CHAR_RENAME_TO_FILE_RENAME_AGENT,Delete char rename operation,Char rename operations deleted from service $serviceName and server instance $serverInstanceName.,Create char Rename operation ,ACTIVE,12
117,DELETE_POLICY_ACTION,Delete Policy Action,Policy action $entityName deleted from server instance $serverInstanceName.,Delete Policy Action.,ACTIVE,24
118,CREATE_POLICY_CONDITION,Create Policy Condition,New policy condition $entityName created in server instance $serverInstanceName.,Create Policy Condition.,ACTIVE,24
119,UPDATE_POLICY_CONDITION,Update Policy Condition,Policy condition $entityName updated in server instance $serverInstanceName.,Update Policy Condition.,ACTIVE,24
120,DELETE_POLICY_CONDITION,Delete Policy Condition,Policy condition $entityName deleted from server instance $serverInstanceName.,Delete Policy Condition.,ACTIVE,24
121,CREATE_POLICY_RULE_GROUP,Create Policy Rule Group,New policy Rule Group $entityName created in server instance $serverInstanceName.,Create Policy Rule Group.,ACTIVE,24
122,UPDATE_POLICY_RULE_GROUP,Update Policy Rule Group,Policy Rule Group $entityName updated in server instance $serverInstanceName.,Update Policy Rule Group.,ACTIVE,24
123,DELETE_POLICY_RULE_GROUP,Delete Policy Rule Group,Policy Rule Group $entityName deleted from server instance $serverInstanceName.,Delete Policy Rule Group.,ACTIVE,24
124,CREATE_POLICY_RULE,Create Policy Rule,New policy Rule $entityName created in server instance $serverInstanceName.,Create Policy Rule.,ACTIVE,24
125,UPDATE_POLICY_RULE,Update Policy Rule,Policy Rule $entityName updated in server instance $serverInstanceName.,Update Policy Rule.,ACTIVE,24
126,DELETE_POLICY_RULE,Delete Policy Rule,Policy Rule $entityName deleted from server instance $serverInstanceName.,Delete Policy Rule.,ACTIVE,24
127,UPDATE_MAPPING,Update Mapping,Mapping updated with mapping name $entityName.,Update Mapping.,ACTIVE,16
128,CREATE_CONSOL_MAPPING,Create consolidation mapping,Consolidation Mapping $entityName created.,Create Consolidation Mapping.,ACTIVE,4
129,UPDATE_CONSOL_MAPPING,Update consolidation mapping,Consolidation Mapping $entityName updated.,Update Consolidation Mapping.,ACTIVE,4
130,DELETE_CONSOL_MAPPING,Delete consolidation mapping,Consolidation Mapping $entityName deleted.,Consolidation Mapping.,ACTIVE,4
131,CREATE_MAPPING,Create Mapping,Mapping created with mapping name $entityName.,Create Mapping.,ACTIVE,16
132,CREATE_DATABASE_DISTRIBUTION_DRIVER_ATTTRIBUTE,Create database distribution driver attribute,New Attribute created for driver $entityName in service $serviceName in server instance $serverInstanceName,Create database distribution driver attribute,ACTIVE,14
133,DELETE_DATABASE_DISTRIBUTION_DRIVER_ATTTRIBUTE,Delete database distribution driver attribute,Attribute deleted from driver $entityName in service $serviceName in server instance $serverInstanceName,Delete database distribution driver attribute,ACTIVE,14
134,UPDATE_DATABASE_DISTRIBUTION_DRIVER_ATTTRIBUTE,Update database distribution driver attribute,Attribute updated for driver $entityName in service $serviceName in server instance $serverInstanceName,Update database distribution driver attribute,ACTIVE,14
135,UPDATE_COMPOSER_MAPPING_DETAIL,Update composer Mapping Detail,Details updated for mapping $entityName,Update composer Mapping Details,ACTIVE,17
136,UPDATE_COMPOSER_MAPPING_DETAIL,Update Composer Mapping,Mapping updated with mapping name $entityName.,Update Composer Mapping.,ACTIVE,16
137,CREATE_CONSOLIDATION_DEFINATION,Create Consolidation Defination,Consolidation Defination $entityName created in service $serviceName.,Create Consolidation Defination.,ACTIVE,11
138,UPDATE_CONSOLIDATION_DEFINATION,Update Consolidation Defination,Consolidation Defination $entityName updated in service $serviceName.,Update Consolidation Defination.,ACTIVE,11
139,DELETE_CONSOLIDATION_DEFINATION,Delete Consolidation Defination,Consolidation Defination $entityName deleted in service $serviceName.,Delete Consolidation Defination.,ACTIVE,11
140,CREATE_DATABASE_QUERY,Create Database Query,Database query $entityName created in server instance $serverInstanceName,Create Database Query.,ACTIVE,24
141,DELETE_DATABASE_QUERY,Delete Database Query,Database query $entityName deleted in server instance $serverInstanceName,Delete Database Query.,ACTIVE,24
142,UPDATE_DATABASE_QUERY,Update Database Query,Database query $entityName updated in server instance $serverInstanceName,Update Database Query.,ACTIVE,24
143,DELETE_RULE_LOOKUP_TABLE,Delete Rule Lookup Table,Rule lookup table with name $entityName deleted.,Delete Rule Lookup Table,ACTIVE,25
144,CREATE_RULE_LOOKUP_TABLE,Create Rule Lookup Table,Rule lookup table with name $entityName created.,Create Rule Lookup Table,ACTIVE,25
145,UPDATE_RULE_LOOKUP_TABLE,Update Rule Lookup Table,Rule lookup table with name $entityName updated.,Update Rule Lookup Table,ACTIVE,25
146,UPDATE_RULE_LOOKUP_DATA,Update Rule Lookup Table,Data of rule lookup table with name $entityName was updated.,Update Rule Lookup Table,ACTIVE,25
147,UPDATE_RULE_LOOKUP_FIELD_LIST,Update Rule Lookup Field List, Field list of rule lookup table $entityName updated,Update Rule Lookup Field List,ACTIVE,25
148,DATA_UPLOADED_FOR_RULE_LOOKUP,Upload Rule Lookup Data,Data uploaded for rule lookup,Upload Rule Lookup,ACTIVE,25
